page_type,url,options.result_url,job_title,weight
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,cas.com.bd,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,20
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
GoogleSearchResult,https://www.google.com/,allinone.com,Test,25
