page_type,url,options.result_url,job_title,weight
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
GoogleSearchResult,https://www.google.com/,allinone.com,"Android Developer",250
